Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Postal Code,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
32298,CA-2012-124891,2012-07-31,31-07-2012,Same Day,RH-19495,Rick Hansen,Consumer,New York City,New York,United States,10024,US,East,TEC-AC-10003033,Technology,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,2309.65,7,0.0,762.1845,933.57,Critical
40155,CA-2014-135909,2014-10-14,21-10-2014,Standard Class,JW-15220,Jane Waco,Corporate,Sacramento,California,United States,95823,US,West,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,5083.96,5,0.2,1906.485,867.69,Low
40936,CA-2012-116638,2012-01-28,31-01-2012,Second Class,JH-15985,Joseph Holt,Consumer,Concord,North Carolina,United States,28027,US,South,FUR-TA-10000198,Furniture,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,4297.644,13,0.4,-1862.3124,865.74,Critical
31784,CA-2011-154627,2011-10-29,31-10-2011,First Class,SA-20830,Sue Ann Reed,Consumer,Chicago,Illinois,United States,60610,US,Central,TEC-PH-10001363,Technology,Phones,Apple iPhone 5S,2735.952,6,0.2,341.994,752.51,High
32735,CA-2012-139731,2012-10-15,15-10-2012,Same Day,JE-15745,Joel Eaton,Consumer,Amarillo,Texas,United States,79109,US,Central,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,2453.43,5,0.3,-350.49,690.42,High
36423,CA-2011-160766,2011-09-14,14-09-2011,Same Day,DM-13015,Darrin Martin,Consumer,New York City,New York,United States,10009,US,East,TEC-MA-10003979,Technology,Machines,Ativa V4110MDD Micro-Cut Shredder,2799.96,4,0.0,1371.9804,675.15,High
35395,CA-2011-116904,2011-09-23,28-09-2011,Standard Class,SC-20095,Sanjit Chand,Consumer,Minneapolis,Minnesota,United States,55407,US,Central,OFF-BI-10001120,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,9449.95,5,0.0,4630.4755,655.61,Medium
40046,US-2012-163825,2012-06-16,19-06-2012,First Class,LC-16885,Lena Creighton,Consumer,New York City,New York,United States,10009,US,East,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,3050.376,3,0.2,1143.891,632.05,High
38198,US-2014-135013,2014-07-25,25-07-2014,Same Day,HR-14830,Harold Ryan,Corporate,Huntington Beach,California,United States,92646,US,West,TEC-CO-10001449,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,2399.96,5,0.2,839.986,630.05,High
32941,CA-2012-111829,2012-03-19,20-03-2012,First Class,FH-14365,Fred Hopkins,Corporate,Seattle,Washington,United States,98115,US,West,TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,3149.93,7,0.0,1480.4671,617.92,High
35594,CA-2014-129021,2014-08-24,27-08-2014,Second Class,PO-18850,Patrick O'Brill,Consumer,Tallahassee,Florida,United States,32303,US,South,TEC-PH-10001459,Technology,Phones,Samsung Galaxy Mega 6.3,4367.896,13,0.2,327.5922,609.44,Medium
31806,CA-2012-145352,2012-03-16,22-03-2012,Standard Class,CM-12385,Christopher Martinez,Consumer,Atlanta,Georgia,United States,30318,US,South,OFF-BI-10003527,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,6354.95,5,0.0,3177.475,581.12,Medium
37817,CA-2014-138289,2014-01-17,19-01-2014,Second Class,AR-10540,Andy Reiter,Consumer,Jackson,Michigan,United States,49201,US,Central,OFF-BI-10004995,Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,5443.96,4,0.0,2504.2216,567.95,High
38540,CA-2014-118892,2014-08-18,23-08-2014,Second Class,TP-21415,Tom Prescott,Consumer,Philadelphia,Pennsylvania,United States,19134,US,East,FUR-CH-10002024,Furniture,Chairs,HON 5400 Series Task Chairs for Big and Tall,4416.174,9,0.3,-630.882,566.65,Medium
35574,US-2013-107440,2013-04-17,21-04-2013,Standard Class,BS-11365,Bill Shonely,Corporate,Lakewood,New Jersey,United States,8701,US,East,TEC-MA-10001047,Technology,Machines,"3D Systems Cube Printer, 2nd Generation, Magenta",9099.93,7,0.0,2365.9818,516.91,Medium
39399,CA-2012-149846,2012-05-22,26-05-2012,Standard Class,SB-20185,Sarah Brown,Consumer,Los Angeles,California,United States,90045,US,West,TEC-MA-10004002,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,2973.32,7,0.2,334.4985,510.18,High
37923,CA-2011-145541,2011-12-14,21-12-2011,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,New York City,New York,United States,10024,US,East,TEC-MA-10001127,Technology,Machines,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",6999.96,4,0.0,2239.9872,499.55,Medium
40336,CA-2013-117121,2013-12-18,22-12-2013,Standard Class,AB-10105,Adrian Barton,Consumer,Detroit,Michigan,United States,48205,US,Central,OFF-BI-10000545,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,9892.74,13,0.0,4946.37,498.7,Medium
32452,CA-2011-136567,2011-12-20,21-12-2011,First Class,PS-19045,Penelope Sewall,Home Office,Harrisonburg,Virginia,United States,22801,US,South,FUR-TA-10001932,Furniture,Tables,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.48,7,0.0,493.7856,498.14,High
37722,CA-2013-143714,2013-05-24,28-05-2013,Standard Class,CC-12370,Christopher Conant,Consumer,Philadelphia,Pennsylvania,United States,19120,US,East,TEC-CO-10004722,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,8399.976,4,0.4,1119.9968,498.08,Medium
40932,CA-2011-151330,2011-10-14,17-10-2011,First Class,TC-21295,Toby Carlisle,Consumer,Everett,Massachusetts,United States,2149,US,East,FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,9,0.0,260.6112,496.46,Critical
34153,CA-2013-128594,2013-08-27,30-08-2013,First Class,DJ-13510,Don Jones,Corporate,San Diego,California,United States,92037,US,West,FUR-CH-10001215,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,1603.136,4,0.2,100.196,489.6,Critical
40462,CA-2013-100300,2013-06-25,27-06-2013,Second Class,MJ-17740,Max Jones,Consumer,San Diego,California,United States,92037,US,West,TEC-MA-10000984,Technology,Machines,Okidata MB760 Printer,4476.8,4,0.2,503.64,485.47,High
32998,CA-2012-114069,2012-07-13,15-07-2012,Second Class,ND-18370,Natalie DeCherney,Consumer,New York City,New York,United States,10035,US,East,FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,1931.04,9,0.1,321.84,477.15,Critical
34667,CA-2013-134887,2013-03-26,26-03-2013,Same Day,TB-21280,Toby Braunhardt,Consumer,Norman,Oklahoma,United States,73071,US,Central,TEC-AC-10003832,Technology,Accessories,LogitechÃÂ P710e Mobile Speakerphone,1287.45,5,0.0,244.6155,457.14,Critical
39069,CA-2013-108196,2013-11-26,3/12/2013,Standard Class,CS-12505,Cindy Stewart,Consumer,Lancaster,Ohio,United States,43130,US,East,TEC-MA-10000418,Technology,Machines,Cubify CubeX 3D Printer Double Head Print,4499.985,5,0.7,-6599.978,451.63,Low
33921,CA-2014-127180,2014-10-23,25-10-2014,First Class,TA-21385,Tom Ashbrook,Home Office,New York City,New York,United States,10024,US,East,TEC-PH-10001494,Technology,Phones,Polycom CX600 IP Phone VoIP phone,2399.6,8,0.0,647.892,449.45,High
